Animal_ID,Treatment,Sex,Cg1,PrL,IL,M2,M1,S1,Ins,CPu,NAcC,NAcSh
1,NAL+VEH,M,48.8703502919998,33.360641123071,0.705203207838267,31.0985016170171,23.9050526355186,6.76738881062279,8.16467959104116,30.3570740217419,50.414281002959,37.9155842581011
2,NAL+VEH,M,44.4980379531913,64.6336717528649,31.0570056658027,10.6597048834121,5.15418823539071,9.49599471626008,24.6500382096405,14.2556577700198,7.217688232864,16.3324037430416
3,NAL+VEH,M,134.88582059641,240.88838313595,153.913324737485,100.496541397278,100.571264653615,125.192123473797,151.837164973377,131.41592755248,45.6711980742024,53.2274409539965
4,NAL+VEH,M,47.1765160969531,64.3813827764759,64.489536366947,24.9165879247229,19.3735337579065,34.190857595349,20.9613017975999,13.0341838625441,12.0014312427861,30.0000836555063
5,NAL+VEH,M,35.5718454853009,36.4189063210162,25.8844990723586,5.98899907492595,2.95437733848915,0.331517457309675,7.59453365110107,21.5983626097186,17.9978912392269,16.5799142868964
6,NAL+VEH,M,9.65851794257127,46.3420125534033,178.28993878983,-13.2509182219715,-31.8558800379071,-20.8642906180837,-3.58261499313887,2.15566645673923,51.3882970163103,131.794001580825
7,NAL+VEH,M,91.4838149809023,116.941030707779,117.206065987271,50.9658577477058,85.4885495141338,88.8401136554811,33.237603568574,74.7743788323868,64.4196755001596,30.4086458166856
8,NAL+VEH,M,52.5119958306792,66.0208502324403,52.4970884112736,35.6617102100582,21.2886201528751,29.1046653846044,33.0018801140383,25.8692672153001,13.2632634213159,16.5269140162017
9,NAL+VEH,M,35.9583459593694,22.9507041660431,36.7461123794167,18.5781542175392,31.0896283628702,36.6786539907506,29.8678639157863,50.4146129276558,15.5889288872185,22.8523274544855
10,NAL+KET,F,181.136812645149,141.815378911035,64.9631457005869,170.685507616957,167.738401943405,179.472685793665,118.132275785287,184.757232602859,96.5353832992284,57.9694382907779
11,NAL+KET,F,300.709584549062,198.375797338144,115.324133576767,125.641089766097,81.656848886293,99.5303808963693,61.6507500530725,177.476522278394,79.9696186298481,64.1953850646461
12,NAL+KET,F,260.064571704531,194.715153081059,68.4975781671166,193.133152397789,187.970639837459,142.803018112208,78.0873843972325,119.397059282907,70.3326294321729,92.922499016871
13,NAL+KET,F,202.102387945631,80.8610332525981,51.6282188458721,158.086905902569,72.4237757505082,104.53720116268,72.3587648413523,79.7564454872881,64.0190630345267,49.4925811584472
14,NAL+KET,F,280.64052318288,152.229616648605,121.672683253801,148.964160378856,161.049834838173,121.153469736175,134.893223683845,139.607575058296,68.599360847464,52.6949791497038
15,NAL+KET,F,341.640970236605,306.783166978713,170.097658706903,243.928443993718,169.098591089519,159.24300395086,96.6851166225954,151.432846889492,94.1711387041276,75.9371332039715
16,NAL+KET,F,307.482764925856,322.09971212392,195.065868061398,241.270450025196,267.844392899653,298.643659280373,117.709097736751,208.271338055673,119.177159287085,171.942964302268
17,NAL+KET,F,229.236441887914,178.832833131258,80.0431675003062,168.391745748777,149.040264296074,232.539777743329,102.075873849929,215.423621434461,102.644801499768,46.6809261458435
18,NAL+KET,F,264.963958419826,305.189489939275,225.404406791432,183.857504719264,234.011987599238,282.975392132929,204.703297281012,154.685428438797,87.0993921628044,86.9056659747811
10,VEH+KET,F,144.480237466172,97.840677110238,37.2319152528679,78.3338012867688,50.2281770628939,89.6900668360878,31.5305564866476,128.062431589092,79.8695289752134,67.3563673035711
11,VEH+KET,F,193.312203081635,117.194234132269,94.8075439768929,94.0658433779067,66.3776525504256,103.153051913455,87.0964111844095,179.593103727667,121.789410674691,82.3758959434727
12,VEH+KET,F,124.848758615692,151.441820834218,82.1626311850457,88.7889185290558,123.86666492367,92.847579351416,54.8790737451851,92.0270940006931,44.6219425567422,31.2096643963002
13,VEH+KET,F,202.518490311542,188.006235720668,97.1769003739282,228.989172321721,334.861186259063,190.40765865273,109.760736601381,132.33095430326,76.995373917114,81.5732264065923
14,VEH+KET,F,388.354921329888,296.127756915585,93.0203191046109,269.782538720962,209.649451722916,228.504836960656,138.474543225176,186.65902003001,100.807311569198,74.4846130867421
15,VEH+KET,F,157.789634328671,253.816186514222,276.968147424062,177.268313098991,214.127024879571,165.657311455712,134.214268818565,120.078468536985,97.7025317029799,144.783779869204
16,VEH+KET,F,299.402340925652,327.222853122883,182.28137013308,264.310688650361,221.480553997034,110.844942278719,88.4181910861115,162.181640641715,125.762225813061,107.741805089725
17,VEH+KET,F,243.89535419066,157.011670889462,143.226545958089,197.540719549226,124.161581179063,185.962618267635,81.2811913699537,133.967479014213,55.4721647081985,60.0637374420759
18,VEH+KET,F,101.708905833883,101.471560012989,42.0498219974965,52.2221615983357,109.260033092418,155.768642969767,81.9559010237621,116.402149175038,55.1433036978857,27.9920183243856
10,NAL+VEH,F,64.1203085433051,50.0366345604935,39.7105369957999,40.9182291198983,66.598514534525,60.783699467418,43.22333247847,34.2172655063077,12.0289855603421,12.2356943468147
11,NAL+VEH,F,17.9969675762302,21.1837696174205,16.5047287732381,11.3816547502902,22.2743350218208,12.5021945307021,17.7225462943768,20.9766671283562,6.34104610326982,6.20525788268386
12,NAL+VEH,F,23.8752921708688,16.2253703165461,17.2925399478256,34.2810722858895,58.7970373141242,11.3831043176129,5.39824626142006,5.11657661419422,12.5104989646626,5.42226349370843
13,NAL+VEH,F,65.8817294892304,22.3665781216563,16.7925388619717,88.5984974099007,126.779809598285,64.0376121956218,14.0082548689719,11.3486851530116,11.3990951342036,8.9664560927929
14,NAL+VEH,F,42.1146929511392,48.9469757422413,45.5794647637516,33.2009665525697,20.3163802085898,15.4629253712739,-2.6618404117369,37.971170336904,28.3912331127794,19.8944863499368
15,NAL+VEH,F,78.8424415117406,38.73186335104,42.2488936013718,54.5283750753177,49.5574096222668,31.4979606867264,41.4675579766385,48.2177946396871,28.8159602224333,19.3037248395499
16,NAL+VEH,F,25.603472959094,14.7565254030663,9.10154006210862,20.2559585616413,8.82456837647198,10.3184052900748,11.7856857410477,4.76826670046571,2.47790250246274,8.17991550966134
17,NAL+VEH,F,-6.78101589610541,-1.76483323109615,3.66308885607184,-2.52151958037695,2.52686925707438,-2.35577683839123,-2.74863478899252,2.41561482165665,7.34191888415529,1.18520067850716
18,NAL+VEH,F,8.94029090699804,9.10555559496083,3.29937135374796,2.0968242854173,7.13473393591678,10.7765542078003,9.25230098681602,10.7640942366539,0.450571130317624,-0.0805824158948823
